var,importance
maxssssssS,0.0
SssBe,0.0
minddssS,0.0
minsAsH2,0.0
minssssGe,0.0
minsssGeH,0.0
minssGeH2,0.0
minsGeH3,0.0
SddsAs,0.0
minSm,0.0
minssssssS,0.0
mindssS,0.0
minsssAs,0.0
SsssssAs,0.0
SsSeH,0.0
mindS,0.0
minsSH,0.0
minsssssP,0.0
minddsP,0.0
mindsssP,0.0
minsssP,0.0
minssAsH,0.0
mindsssAs,0.0
minsPH2,0.0
minsSnH3,0.0
minssssPb,0.0
minsssPbH,0.0
minssPbH2,0.0
minsPbH3,0.0
minsI,0.0
minssssSn,0.0
minsssSnH,0.0
minssSnH2,0.0
SdsssAs,0.0
minddsAs,0.0
minddssSe,0.0
minssssssSe,0.0
mindssSe,0.0
minaaSe,0.0
minssSe,0.0
mindSe,0.0
minsSeH,0.0
minsssssAs,0.0
minssPH,0.0
minssssSi,0.0
maxSm,0.0
minHdCH2,0.0
minsNH3p,0.0
SsssPbH,0.0
SssssPb,0.0
minHsSH,0.0
minHsNH3p,0.0
minddC,0.0
minHsssNHp,0.0
minHtCH,0.0
mintCH,0.0
minssNH2p,0.0
minHCHnX,0.0
mindCH2,0.0
minHmisc,0.0
minssssBm,0.0
minsssB,0.0
minssBH,0.0
minsBH2,0.0
minssssBem,0.0
SssPbH2,0.0
mindNH,0.0
minsssSiH,0.0
SssssssSe,0.0
minssSiH2,0.0
minsSiH3,0.0
SdSe,0.0
minsOm,0.0
minaOm,0.0
SssSe,0.0
SaaSe,0.0
SdssSe,0.0
minssssNp,0.0
SsPbH3,0.0
SddssSe,0.0
minddsN,0.0
SsSnH3,0.0
SssSnH2,0.0
SsssSnH,0.0
minsssNHp,0.0
SssssSn,0.0
SsI,0.0
SsssAs,0.0
maxwHBd,0.0
SssAsH,0.0
maxtN,0.0
SsssB,0.0
maxssssNp,0.0
maxaasN,0.0
maxddsN,0.0
SssssBm,0.0
StCH,0.0
SddC,0.0
maxsssNHp,0.0
maxaaNH,0.0
SsBH2,0.0
maxdNH,0.0
maxssNH2p,0.0
maxsNH2,0.0
maxsNH3p,0.0
SsNH3p,0.0
SssNH2p,0.0
SdNH,0.0
maxtsC,0.0
SssBH,0.0
SssssBem,0.0
SsAsH2,0.0
maxddsP,0.0
minssBe,0.0
maxddssS,0.0
maxdssS,0.0
maxaaS,0.0
maxssS,0.0
maxdS,0.0
maxsSH,0.0
maxsssssP,0.0
maxdsssP,0.0
maxaOm,0.0
maxsssP,0.0
maxssPH,0.0
maxsPH2,0.0
maxssssSi,0.0
maxsssSiH,0.0
maxssSiH2,0.0
maxsSiH3,0.0
maxsOm,0.0
maxddC,0.0
SsssNHp,0.0
SddsN,0.0
SddsP,0.0
maxHsssNHp,0.0
maxHssNH2p,0.0
maxHsNH3p,0.0
maxHaaNH,0.0
SdsssP,0.0
maxHsNH2,0.0
maxHsSH,0.0
maxHdNH,0.0
SsssssP,0.0
SssssNp,0.0
SsSH,0.0
SdssS,0.0
SssssssS,0.0
SSm,0.0
SsGeH3,0.0
SssGeH2,0.0
SsssGeH,0.0
SssssGe,0.0
maxHtCH,0.0
maxHdCH2,0.0
SsssP,0.0
SssPH,0.0
maxtCH,0.0
SaOm,0.0
maxdCH2,0.0
SsSiH3,0.0
maxssssBm,0.0
maxsssB,0.0
maxssBH,0.0
maxsBH2,0.0
maxssssBem,0.0
maxssBe,0.0
maxsLi,0.0
maxHmisc,0.0
SssSiH2,0.0
SsssSiH,0.0
SssssSi,0.0
SsPH2,0.0
maxHCHnX,0.0
minHssNH2p,0.0
